Time,UTC_TIME,Open,High,Low,Close,Volume,CANDLE_TYPE
2025-12-04 05:30:00,2025-12-04 00:00:00,144.66,144.89,144.6,144.69,3385.302,Bullish
2025-12-04 05:35:00,2025-12-04 00:05:00,144.69,144.96,144.66,144.91,4278.912,Bullish
2025-12-04 05:40:00,2025-12-04 00:10:00,144.91,144.95,143.91,143.97,5835.398,Bearish
2025-12-04 05:45:00,2025-12-04 00:15:00,143.97,144.58,143.96,144.43,3094.662,Bullish
2025-12-04 05:50:00,2025-12-04 00:20:00,144.43,144.44,144.04,144.35,2621.087,Bearish
2025-12-04 05:55:00,2025-12-04 00:25:00,144.35,144.41,143.92,144.19,1930.061,Bearish
2025-12-04 06:00:00,2025-12-04 00:30:00,144.19,144.19,143.66,143.66,2037.598,Bearish
2025-12-04 06:05:00,2025-12-04 00:35:00,143.66,144.03,143.66,143.87,1597.21,Bullish
2025-12-04 06:10:00,2025-12-04 00:40:00,143.87,144.54,143.86,144.5,2046.897,Bullish
2025-12-04 06:15:00,2025-12-04 00:45:00,144.5,144.72,144.28,144.72,2485.696,Bullish
2025-12-04 06:20:00,2025-12-04 00:50:00,144.72,145.37,144.72,145.14,5223.087,Bullish
2025-12-04 06:25:00,2025-12-04 00:55:00,145.14,145.36,144.91,145.01,2115.89,Bearish
2025-12-04 06:30:00,2025-12-04 01:00:00,145.01,145.18,144.76,145.18,2343.679,Bullish
2025-12-04 06:35:00,2025-12-04 01:05:00,145.18,145.29,144.96,145.09,2336.901,Bearish
2025-12-04 06:40:00,2025-12-04 01:10:00,145.09,146.91,145.06,146.76,14258.67,Bullish
2025-12-04 06:45:00,2025-12-04 01:15:00,146.76,146.86,145.64,145.87,12580.056,Bearish
2025-12-04 06:50:00,2025-12-04 01:20:00,145.87,146.23,145.28,145.6,4026.317,Bearish
2025-12-04 06:55:00,2025-12-04 01:25:00,145.6,145.66,145.23,145.27,3178.061,Bearish
2025-12-04 07:00:00,2025-12-04 01:30:00,145.27,145.47,145.15,145.43,1930.124,Bullish
2025-12-04 07:05:00,2025-12-04 01:35:00,145.43,145.7,145.35,145.64,2034.481,Bullish
2025-12-04 07:10:00,2025-12-04 01:40:00,145.64,145.66,145.28,145.41,2488.899,Bearish
2025-12-04 07:15:00,2025-12-04 01:45:00,145.41,145.42,144.37,144.41,5932.982,Bearish
2025-12-04 07:20:00,2025-12-04 01:50:00,144.41,144.51,144.18,144.18,3300.887,Bearish
2025-12-04 07:25:00,2025-12-04 01:55:00,144.18,144.42,144.14,144.17,5848.361,Bearish
2025-12-04 07:30:00,2025-12-04 02:00:00,144.17,144.5,143.99,144.38,5465.192,Bullish
2025-12-04 07:35:00,2025-12-04 02:05:00,144.38,144.57,144.3,144.52,1870.921,Bullish
2025-12-04 07:40:00,2025-12-04 02:10:00,144.52,145.05,144.48,145.04,2501.219,Bullish
2025-12-04 07:45:00,2025-12-04 02:15:00,145.04,145.52,144.93,145.51,2420.979,Bullish
2025-12-04 07:50:00,2025-12-04 02:20:00,145.51,145.74,145.25,145.43,3297.67,Bearish
2025-12-04 07:55:00,2025-12-04 02:25:00,145.43,145.68,145.34,145.43,2178.656,Bearish
2025-12-04 08:00:00,2025-12-04 02:30:00,145.43,145.56,145.05,145.48,2199.935,Bullish
2025-12-04 08:05:00,2025-12-04 02:35:00,145.48,146.11,145.4,145.98,2759.085,Bullish
2025-12-04 08:10:00,2025-12-04 02:40:00,145.98,145.98,145.52,145.7,2063.341,Bearish
2025-12-04 08:15:00,2025-12-04 02:45:00,145.7,145.91,145.45,145.64,2577.885,Bearish
2025-12-04 08:20:00,2025-12-04 02:50:00,145.64,145.74,145.52,145.64,1047.327,Bearish
2025-12-04 08:25:00,2025-12-04 02:55:00,145.64,145.81,145.56,145.61,1208.542,Bearish
2025-12-04 08:30:00,2025-12-04 03:00:00,145.61,145.61,145.28,145.56,1534.549,Bearish
2025-12-04 08:35:00,2025-12-04 03:05:00,145.56,145.63,145.27,145.51,2807.445,Bearish
2025-12-04 08:40:00,2025-12-04 03:10:00,145.51,145.51,145.12,145.2,1152.693,Bearish
2025-12-04 08:45:00,2025-12-04 03:15:00,145.2,145.25,144.94,144.95,3282.795,Bearish
2025-12-04 08:50:00,2025-12-04 03:20:00,144.95,145.03,144.83,145.0,2092.187,Bullish
2025-12-04 08:55:00,2025-12-04 03:25:00,145.0,145.0,144.75,144.76,1281.331,Bearish
2025-12-04 09:00:00,2025-12-04 03:30:00,144.76,144.85,144.43,144.47,2700.721,Bearish
